Time,number,discription,queue
0:05,1,ピンク,倍の倍のファイト倍々ファイト by CandyTune
0:08,2,水色,倍の倍のファイト倍々ファイト by CandyTune×3
0:16,3,カラフル,チャラチャー
0:27,4,オレンジ,本音と建て前ない私
0:32,5,ミントグリーン,人の目気にせず素直な子
0:38,6,青,誰かを救うということは
0:44,7,赤,誰かを愛すということは
0:50,8,カラフル,倍fight倍々fight倍々倍fight
1:02,9,,嬉しい悲しい
1:07,10,カラフル,倍fight倍々fight倍々倍fight!

1:11,3,,チャラチャー
1:21,11,紫,飽き性根性ない状況
1:24,12,カラフル,やめたいやめたいけどだけど
1:27,13,赤,もっぱらネガティブ自虐思考
1:30,12,カラフル,やめたいやめたいけどだけど
1:33,14,水色,何かを犠牲にすることは
1:38,15,ピンク,何かを目指すということは
1:46,16,カラフル,倍fight倍々fight倍々倍fight
1:57,17,カラフル,楽しいー悔しいー
2:01,18,カラフル,倍fight倍々fight倍々倍fight!

2:05,19,紫,倍の倍のファイト倍々ファイト by CandyTune
2:11,20,オレンジ,倍の倍のファイト倍々ファイト by CandyTune
2:16,21,ミントグリーン,自分を大事に本音を大事に
2:19,22,紫,強い人間になりたかったって
2:22,23,オレンジ,有限実行言葉に宿った
2:25,24,赤,誰かと比べて落ち込んだって
2:28,25,ピンク,半径百キロメートルを幸せで満たしたいな
2:30,26,青,生きているだけですごいことだから
2:33,27,水色,できないことよりできることをほら
2:35,28,カラフル,すなわちとにかく倍々アクティブbyebyeパッシブ

2:38,29,カラフル,チャッララチャチャーチャー
2:49,30,カラフル,倍々ファイトほんの小さな一歩
3:02,31,赤,倍fight倍々fight倍々倍fight何と言われてもあきらめぬ
3:08,32,紫,倍fight倍々fight倍々倍fight人生これきり一度きり

3:13,33,カラフル,ジャンジャカ
3:16,34,カラフル,倍fight倍々fight倍々倍fight
3:26,35,カラフル,嬉しいー悲しいー
4:00,36,ピンク,明日からじゃなくて今日だ今だここだ
4:03,37,オレンジ,忙しなくて疲れたならちょっと休むかい
4:06,38,赤,私たちがいつもそばにいるからさ
4:10,39,倍fight倍fight倍fight!!